Leeftijd;Perioden;Regio's;Bevolking op 1 januari (aantal)
0 jaar;2022;Dinteloord en Prinsenland;
0 jaar;2023;Dinteloord en Prinsenland;
0 jaar;2022;Dinxperlo;
0 jaar;2023;Dinxperlo;
0 jaar;2022;Dirksland;
0 jaar;2023;Dirksland;
0 jaar;2022;Dodewaard;
0 jaar;2023;Dodewaard;
0 jaar;2022;Doesburg;67
0 jaar;2023;Doesburg;62
0 jaar;2022;Doetinchem;542
0 jaar;2023;Doetinchem;512
0 jaar;2022;Domburg;
0 jaar;2023;Domburg;
0 jaar;2022;Dongen;274
0 jaar;2023;Dongen;270
0 jaar;2022;Dongeradeel;
0 jaar;2023;Dongeradeel;
0 jaar;2022;Doorn;
0 jaar;2023;Doorn;
0 jaar;2022;Dordrecht;1328
0 jaar;2023;Dordrecht;1212
0 jaar;2022;Drechterland;201
0 jaar;2023;Drechterland;193
0 jaar;2022;Driebergen-Rijsenburg;
0 jaar;2023;Driebergen-Rijsenburg;
0 jaar;2022;Driebruggen;
0 jaar;2023;Driebruggen;
0 jaar;2022;Drimmelen;237
0 jaar;2023;Drimmelen;249
0 jaar;2022;Dronten;451
0 jaar;2023;Dronten;416
0 jaar;2022;Drunen;
0 jaar;2023;Drunen;
0 jaar;2022;Druten;203
0 jaar;2023;Druten;177
0 jaar;2022;Duiveland;
0 jaar;2023;Duiveland;
0 jaar;2022;Duiven;223
0 jaar;2023;Duiven;205
0 jaar;2022;Den Dungen;
0 jaar;2023;Den Dungen;
0 jaar;2022;Dussen;
0 jaar;2023;Dussen;
0 jaar;2022;Dwingeloo;
0 jaar;2023;Dwingeloo;
0 jaar;2022;Echt;
0 jaar;2023;Echt;
0 jaar;2022;Echteld;
0 jaar;2023;Echteld;
0 jaar;2022;Echt-Susteren;251
0 jaar;2023;Echt-Susteren;251
0 jaar;2022;Edam-Volendam;374
0 jaar;2023;Edam-Volendam;301
0 jaar;2022;Ede;1533
0 jaar;2023;Ede;1415
0 jaar;2022;Eelde;
0 jaar;2023;Eelde;
0 jaar;2022;Eemnes;99
0 jaar;2023;Eemnes;81
0 jaar;2022;Eemsdelta;415
0 jaar;2023;Eemsdelta;361
0 jaar;2022;Eemsmond;
0 jaar;2023;Eemsmond;
0 jaar;2022;Eenrum;
0 jaar;2023;Eenrum;
0 jaar;2022;Eersel;221
0 jaar;2023;Eersel;176
0 jaar;2022;Egmond;
0 jaar;2023;Egmond;
0 jaar;2022;Eibergen;
0 jaar;2023;Eibergen;
0 jaar;2022;Eijsden;
0 jaar;2023;Eijsden;
0 jaar;2022;Eijsden-Margraten;251
0 jaar;2023;Eijsden-Margraten;264
0 jaar;2022;Eindhoven;2362
0 jaar;2023;Eindhoven;2180
0 jaar;2022;Elburg;265
0 jaar;2023;Elburg;255
0 jaar;2022;Elst;
0 jaar;2023;Elst;
0 jaar;2022;Emmen;925
0 jaar;2023;Emmen;881
0 jaar;2022;Enkhuizen;177
0 jaar;2023;Enkhuizen;170
0 jaar;2022;Enschede;1403
0 jaar;2023;Enschede;1287
0 jaar;2022;Epe;330
0 jaar;2023;Epe;276
0 jaar;2022;Ermelo;254
0 jaar;2023;Ermelo;223
0 jaar;2022;Erp;
0 jaar;2023;Erp;
0 jaar;2022;Esch;
0 jaar;2023;Esch;
0 jaar;2022;Etten-Leur;426
0 jaar;2023;Etten-Leur;403
0 jaar;2022;Ezinge;
0 jaar;2023;Ezinge;
0 jaar;2022;Ferwerderadeel;
0 jaar;2023;Ferwerderadeel;
0 jaar;2022;Ferwerderadiel;
0 jaar;2023;Ferwerderadiel;
0 jaar;2022;Fijnaart en Heijningen;
0 jaar;2023;Fijnaart en Heijningen;
0 jaar;2022;Finsterwolde;
0 jaar;2023;Finsterwolde;
0 jaar;2022;Franekeradeel;
0 jaar;2023;Franekeradeel;
0 jaar;2022;De Friese Meren;
0 jaar;2023;De Friese Meren;
0 jaar;2022;De Fryske Marren;493
0 jaar;2023;De Fryske Marren;438
0 jaar;2022;Gaasterlân-Sleat;
0 jaar;2023;Gaasterlân-Sleat;
0 jaar;2022;Gasselte;
0 jaar;2023;Gasselte;
0 jaar;2022;Geertruidenberg;225
0 jaar;2023;Geertruidenberg;196
0 jaar;2022;Geffen;
0 jaar;2023;Geffen;
0 jaar;2022;Geldermalsen;
0 jaar;2023;Geldermalsen;
0 jaar;2022;Geldrop;
0 jaar;2023;Geldrop;
0 jaar;2022;Geldrop-Mierlo;414
0 jaar;2023;Geldrop-Mierlo;375
0 jaar;2022;Geleen;
0 jaar;2023;Geleen;
0 jaar;2022;Gemert;
0 jaar;2023;Gemert;
0 jaar;2022;Gemert-Bakel;353
0 jaar;2023;Gemert-Bakel;313
0 jaar;2022;Gendringen;
0 jaar;2023;Gendringen;
0 jaar;2022;Gendt;
0 jaar;2023;Gendt;
0 jaar;2022;Genemuiden;
0 jaar;2023;Genemuiden;
0 jaar;2022;Gennep;123
0 jaar;2023;Gennep;149
0 jaar;2022;Giessenlanden;
0 jaar;2023;Giessenlanden;
0 jaar;2022;Gieten;
0 jaar;2023;Gieten;
0 jaar;2022;Gilze en Rijen;256
0 jaar;2023;Gilze en Rijen;237
0 jaar;2022;Goedereede;
0 jaar;2023;Goedereede;
0 jaar;2022;Goeree-Overflakkee;501
0 jaar;2023;Goeree-Overflakkee;468
0 jaar;2022;Goes;351
0 jaar;2023;Goes;352
0 jaar;2022;Goirle;205
0 jaar;2023;Goirle;193
0 jaar;2022;Gooise Meren;641
0 jaar;2023;Gooise Meren;574
0 jaar;2022;Goor;
0 jaar;2023;Goor;
0 jaar;2022;Gorinchem;383
0 jaar;2023;Gorinchem;377
0 jaar;2022;Gorssel;
0 jaar;2023;Gorssel;
0 jaar;2022;Gouda;811
0 jaar;2023;Gouda;829
0 jaar;2022;Graafstroom;
0 jaar;2023;Graafstroom;
0 jaar;2022;Graft-De Rijp;
0 jaar;2023;Graft-De Rijp;
0 jaar;2022;Gramsbergen;
0 jaar;2023;Gramsbergen;
0 jaar;2022;Grathem;
0 jaar;2023;Grathem;
0 jaar;2022;Grave;
0 jaar;2023;Grave;
0 jaar;2022;'s-Graveland;
0 jaar;2023;'s-Graveland;
0 jaar;2022;'s-Gravendeel;
0 jaar;2023;'s-Gravendeel;
0 jaar;2022;'s-Gravenhage (gemeente);5964
0 jaar;2023;'s-Gravenhage (gemeente);5558
0 jaar;2022;'s-Gravenmoer;
0 jaar;2023;'s-Gravenmoer;
0 jaar;2022;'s-Gravenzande;
0 jaar;2023;'s-Gravenzande;
0 jaar;2022;Grijpskerk;
0 jaar;2023;Grijpskerk;
0 jaar;2022;Groenlo;
0 jaar;2023;Groenlo;
0 jaar;2022;Groesbeek;
0 jaar;2023;Groesbeek;
0 jaar;2022;Groningen (gemeente);2166
0 jaar;2023;Groningen (gemeente);1954
0 jaar;2022;Grootegast;
0 jaar;2023;Grootegast;
0 jaar;2022;Grubbenvorst;
0 jaar;2023;Grubbenvorst;
0 jaar;2022;Gulpen;
0 jaar;2023;Gulpen;
0 jaar;2022;Gulpen-Wittem;105
0 jaar;2023;Gulpen-Wittem;98
0 jaar;2022;Haaksbergen;236
0 jaar;2023;Haaksbergen;201
0 jaar;2022;Haaren;
0 jaar;2023;Haaren;
0 jaar;2022;Haarlem;1919
0 jaar;2023;Haarlem;1782
0 jaar;2022;Haarlemmerliede en Spaarnwoude;
0 jaar;2023;Haarlemmerliede en Spaarnwoude;
0 jaar;2022;Haarlemmermeer;1622
0 jaar;2023;Haarlemmermeer;1585
0 jaar;2022;Haelen;
0 jaar;2023;Haelen;
0 jaar;2022;Halderberge;278
0 jaar;2023;Halderberge;262
0 jaar;2022;Halsteren;
0 jaar;2023;Halsteren;
0 jaar;2022;Den Ham;
0 jaar;2023;Den Ham;
0 jaar;2022;Haps;
0 jaar;2023;Haps;
0 jaar;2022;Hardenberg;686
0 jaar;2023;Hardenberg;627
0 jaar;2022;Harderwijk;532
0 jaar;2023;Harderwijk;491
0 jaar;2022;Hardinxveld-Giessendam;252
