Leeftijd;Perioden;Regio's;Bevolking op 1 januari (aantal)
10 jaar;2023;Landgraaf;325
10 jaar;2022;Landsmeer;152
10 jaar;2023;Landsmeer;151
10 jaar;2022;Langbroek;
10 jaar;2023;Langbroek;
10 jaar;2022;Langedijk;
10 jaar;2023;Langedijk;
10 jaar;2022;Lansingerland;941
10 jaar;2023;Lansingerland;942
10 jaar;2022;Laren (NH.);127
10 jaar;2023;Laren (NH.);130
10 jaar;2022;Leek;
10 jaar;2023;Leek;
10 jaar;2022;Leende;
10 jaar;2023;Leende;
10 jaar;2022;Leens;
10 jaar;2023;Leens;
10 jaar;2022;Leerdam;
10 jaar;2023;Leerdam;
10 jaar;2022;Leersum;
10 jaar;2023;Leersum;
10 jaar;2022;Leeuwarden;1240
10 jaar;2023;Leeuwarden;1228
10 jaar;2022;Leeuwarderadeel;
10 jaar;2023;Leeuwarderadeel;
10 jaar;2022;Leiden;1075
10 jaar;2023;Leiden;1068
10 jaar;2022;Leiderdorp;311
10 jaar;2023;Leiderdorp;304
10 jaar;2022;Leidschendam;
10 jaar;2023;Leidschendam;
10 jaar;2022;Leidschendam-Voorburg;880
10 jaar;2023;Leidschendam-Voorburg;845
10 jaar;2022;Leimuiden;
10 jaar;2023;Leimuiden;
10 jaar;2022;Lelystad;982
10 jaar;2023;Lelystad;956
10 jaar;2022;Lemsterland;
10 jaar;2023;Lemsterland;
10 jaar;2022;Leudal;290
10 jaar;2023;Leudal;294
10 jaar;2022;Leusden;344
10 jaar;2023;Leusden;358
10 jaar;2022;Lichtenvoorde;
10 jaar;2023;Lichtenvoorde;
10 jaar;2022;Liemeer;
10 jaar;2023;Liemeer;
10 jaar;2022;Liempde;
10 jaar;2023;Liempde;
10 jaar;2022;Lienden;
10 jaar;2023;Lienden;
10 jaar;2022;De Lier;
10 jaar;2023;De Lier;
10 jaar;2022;Lieshout;
10 jaar;2023;Lieshout;
10 jaar;2022;Liesveld;
10 jaar;2023;Liesveld;
10 jaar;2022;Limmen;
10 jaar;2023;Limmen;
10 jaar;2022;Lingewaal;
10 jaar;2023;Lingewaal;
10 jaar;2022;Lingewaard;589
10 jaar;2023;Lingewaard;511
10 jaar;2022;Linne;
10 jaar;2023;Linne;
10 jaar;2022;Linschoten;
10 jaar;2023;Linschoten;
10 jaar;2022;Lisse;249
10 jaar;2023;Lisse;248
10 jaar;2022;Lith;
10 jaar;2023;Lith;
10 jaar;2022;Littenseradiel;
10 jaar;2023;Littenseradiel;
10 jaar;2022;Lochem;301
10 jaar;2023;Lochem;346
10 jaar;2022;Loenen;
10 jaar;2023;Loenen;
10 jaar;2022;Loon op Zand;209
10 jaar;2023;Loon op Zand;243
10 jaar;2022;Loosdrecht;
10 jaar;2023;Loosdrecht;
10 jaar;2022;Lopik;159
10 jaar;2023;Lopik;166
10 jaar;2022;Loppersum;
10 jaar;2023;Loppersum;
10 jaar;2022;Losser;231
10 jaar;2023;Losser;229
10 jaar;2022;Luyksgestel;
10 jaar;2023;Luyksgestel;
10 jaar;2022;Maarheeze;
10 jaar;2023;Maarheeze;
10 jaar;2022;Maarn;
10 jaar;2023;Maarn;
10 jaar;2022;Maarssen;
10 jaar;2023;Maarssen;
10 jaar;2022;Maartensdijk;
10 jaar;2023;Maartensdijk;
10 jaar;2022;Maasbracht;
10 jaar;2023;Maasbracht;
10 jaar;2022;Maasbree;
10 jaar;2023;Maasbree;
10 jaar;2022;Maasdonk;
10 jaar;2023;Maasdonk;
10 jaar;2022;Maasdriel;271
10 jaar;2023;Maasdriel;250
10 jaar;2022;Maasgouw;169
10 jaar;2023;Maasgouw;167
10 jaar;2022;Maashorst;588
10 jaar;2023;Maashorst;633
10 jaar;2022;Maasland;
10 jaar;2023;Maasland;
10 jaar;2022;Maassluis;370
10 jaar;2023;Maassluis;363
10 jaar;2022;Maastricht;825
10 jaar;2023;Maastricht;864
10 jaar;2022;Made;
10 jaar;2023;Made;
10 jaar;2022;Made en Drimmelen;
10 jaar;2023;Made en Drimmelen;
10 jaar;2022;Margraten;
10 jaar;2023;Margraten;
10 jaar;2022;Mariekerke;
10 jaar;2023;Mariekerke;
10 jaar;2022;Markelo;
10 jaar;2023;Markelo;
10 jaar;2022;Marken;
10 jaar;2023;Marken;
10 jaar;2022;De Marne;
10 jaar;2023;De Marne;
10 jaar;2022;Marum;
10 jaar;2023;Marum;
10 jaar;2022;Maurik;
10 jaar;2023;Maurik;
10 jaar;2022;Medemblik;481
10 jaar;2023;Medemblik;494
10 jaar;2022;Meeden;
10 jaar;2023;Meeden;
10 jaar;2022;Meerlo-Wanssum;
10 jaar;2023;Meerlo-Wanssum;
10 jaar;2022;Meerssen;168
10 jaar;2023;Meerssen;157
10 jaar;2022;Megen, Haren en Macharen;
10 jaar;2023;Megen, Haren en Macharen;
10 jaar;2022;Meierijstad;863
10 jaar;2023;Meierijstad;894
10 jaar;2022;Meijel;
10 jaar;2023;Meijel;
10 jaar;2022;Melick en Herkenbosch;
10 jaar;2023;Melick en Herkenbosch;
10 jaar;2022;Menaldumadeel;
10 jaar;2023;Menaldumadeel;
10 jaar;2022;Menameradiel;
10 jaar;2023;Menameradiel;
10 jaar;2022;Menterwolde;
10 jaar;2023;Menterwolde;
10 jaar;2022;Meppel;410
10 jaar;2023;Meppel;346
10 jaar;2022;Middelburg (Z.);548
10 jaar;2023;Middelburg (Z.);553
10 jaar;2022;Middelharnis;
10 jaar;2023;Middelharnis;
10 jaar;2022;Middelstum;
10 jaar;2023;Middelstum;
10 jaar;2022;Midden-Delfland;240
10 jaar;2023;Midden-Delfland;240
10 jaar;2022;Midden-Drenthe;310
10 jaar;2023;Midden-Drenthe;329
10 jaar;2022;Midden-Groningen;661
10 jaar;2023;Midden-Groningen;637
10 jaar;2022;Middenschouwen;
10 jaar;2023;Middenschouwen;
10 jaar;2022;Middenveld;
10 jaar;2023;Middenveld;
10 jaar;2022;Midwolda;
10 jaar;2023;Midwolda;
10 jaar;2022;Mierlo;
10 jaar;2023;Mierlo;
10 jaar;2022;Mijdrecht;
10 jaar;2023;Mijdrecht;
10 jaar;2022;Mill en Sint Hubert;
10 jaar;2023;Mill en Sint Hubert;
10 jaar;2022;Millingen aan de Rijn;
10 jaar;2023;Millingen aan de Rijn;
10 jaar;2022;Moerdijk;400
10 jaar;2023;Moerdijk;385
10 jaar;2022;Moergestel;
10 jaar;2023;Moergestel;
10 jaar;2022;Moerhuizen;
10 jaar;2023;Moerhuizen;
10 jaar;2022;Moerkapelle;
10 jaar;2023;Moerkapelle;
10 jaar;2022;Molenlanden;596
10 jaar;2023;Molenlanden;582
10 jaar;2022;Molenwaard;
10 jaar;2023;Molenwaard;
10 jaar;2022;Monnickendam;
10 jaar;2023;Monnickendam;
10 jaar;2022;Monster;
10 jaar;2023;Monster;
10 jaar;2022;Montferland;328
10 jaar;2023;Montferland;318
10 jaar;2022;Montfoort;155
10 jaar;2023;Montfoort;154
10 jaar;2022;Montfort;
10 jaar;2023;Montfort;
10 jaar;2022;Mook en Middelaar;66
10 jaar;2023;Mook en Middelaar;64
10 jaar;2022;Moordrecht;
10 jaar;2023;Moordrecht;
10 jaar;2022;Muiden;
10 jaar;2023;Muiden;
10 jaar;2022;Muntendam;
10 jaar;2023;Muntendam;
10 jaar;2022;Naaldwijk;
10 jaar;2023;Naaldwijk;
10 jaar;2022;Naarden;
10 jaar;2023;Naarden;
10 jaar;2022;Neder-Betuwe;331
10 jaar;2023;Neder-Betuwe;317
10 jaar;2022;Nederhorst den Berg;
10 jaar;2023;Nederhorst den Berg;
10 jaar;2022;Nederlek;
10 jaar;2023;Nederlek;
10 jaar;2022;Nederweert;154
10 jaar;2023;Nederweert;172
10 jaar;2022;Neede;
10 jaar;2023;Neede;
10 jaar;2022;Neer;
10 jaar;2023;Neer;
10 jaar;2022;Neerijnen;
10 jaar;2023;Neerijnen;
10 jaar;2022;Niedorp;
10 jaar;2023;Niedorp;
10 jaar;2022;Nieuwe Pekela;
10 jaar;2023;Nieuwe Pekela;
10 jaar;2022;Nieuwegein;628
10 jaar;2023;Nieuwegein;656
10 jaar;2022;Nieuwerkerk aan den IJssel;
10 jaar;2023;Nieuwerkerk aan den IJssel;
10 jaar;2022;Nieuweschans;
10 jaar;2023;Nieuweschans;
10 jaar;2022;Nieuw-Ginneken;
10 jaar;2023;Nieuw-Ginneken;
10 jaar;2022;Nieuwkoop;309
10 jaar;2023;Nieuwkoop;283
10 jaar;2022;Nieuw-Lekkerland;
10 jaar;2023;Nieuw-Lekkerland;
10 jaar;2022;Nieuwleusen;
10 jaar;2023;Nieuwleusen;
10 jaar;2022;Nieuwolda;
10 jaar;2023;Nieuwolda;
10 jaar;2022;Nieuwveen;
10 jaar;2023;Nieuwveen;
10 jaar;2022;Nieuw-Vossemeer;
10 jaar;2023;Nieuw-Vossemeer;
10 jaar;2022;Nigtevecht;
10 jaar;2023;Nigtevecht;
10 jaar;2022;Nijefurd;
10 jaar;2023;Nijefurd;
10 jaar;2022;Nijeveen;
10 jaar;2023;Nijeveen;
10 jaar;2022;Nijkerk;570
10 jaar;2023;Nijkerk;532
10 jaar;2022;Nijmegen;1597
10 jaar;2023;Nijmegen;1597
10 jaar;2022;Nissewaard;919
10 jaar;2023;Nissewaard;966
10 jaar;2022;Nistelrode;
10 jaar;2023;Nistelrode;
10 jaar;2022;Noardeast-Fryslân;521
10 jaar;2023;Noardeast-Fryslân;535
10 jaar;2022;Noord-Beveland;56
10 jaar;2023;Noord-Beveland;73
10 jaar;2022;Noordenveld;323
10 jaar;2023;Noordenveld;300
10 jaar;2022;Noorder-Koggenland;
10 jaar;2023;Noorder-Koggenland;
10 jaar;2022;Noordoostpolder;609
10 jaar;2023;Noordoostpolder;578
10 jaar;2022;Noordwijk;509
10 jaar;2023;Noordwijk;446
10 jaar;2022;Noordwijkerhout;
10 jaar;2023;Noordwijkerhout;
10 jaar;2022;Nootdorp;
10 jaar;2023;Nootdorp;
10 jaar;2022;Norg;
10 jaar;2023;Norg;
10 jaar;2022;Nuenen, Gerwen en Nederwetten;233
10 jaar;2023;Nuenen, Gerwen en Nederwetten;251
10 jaar;2022;Nuland;
10 jaar;2023;Nuland;
10 jaar;2022;Nunspeet;303
10 jaar;2023;Nunspeet;345
10 jaar;2022;Nuth;
10 jaar;2023;Nuth;
10 jaar;2022;Obdam;
10 jaar;2023;Obdam;
10 jaar;2022;Odoorn;
10 jaar;2023;Odoorn;
10 jaar;2022;Oeffelt;
10 jaar;2023;Oeffelt;
10 jaar;2022;Oegstgeest;310
10 jaar;2023;Oegstgeest;337
10 jaar;2022;Ohé en Laak;
10 jaar;2023;Ohé en Laak;
10 jaar;2022;Oirschot;217
10 jaar;2023;Oirschot;195
10 jaar;2022;Oisterwijk;350
10 jaar;2023;Oisterwijk;333
10 jaar;2022;Oldambt;347
10 jaar;2023;Oldambt;354
10 jaar;2022;Oldebroek;305
10 jaar;2023;Oldebroek;310
10 jaar;2022;Oldehove;
10 jaar;2023;Oldehove;
10 jaar;2022;Oldekerk;
10 jaar;2023;Oldekerk;
10 jaar;2022;Oldenzaal;346
10 jaar;2023;Oldenzaal;363
10 jaar;2022;Olst;
10 jaar;2023;Olst;
10 jaar;2022;Olst-Wijhe;186
10 jaar;2023;Olst-Wijhe;188
10 jaar;2022;Ommen;208
10 jaar;2023;Ommen;213
10 jaar;2022;Onderbanken;
10 jaar;2023;Onderbanken;
10 jaar;2022;Oost Gelre;300
10 jaar;2023;Oost Gelre;273
10 jaar;2022;Oost-, West- en Middelbeers;
10 jaar;2023;Oost-, West- en Middelbeers;
10 jaar;2022;Oostburg;
10 jaar;2023;Oostburg;
10 jaar;2022;Oosterbroek;
10 jaar;2023;Oosterbroek;
10 jaar;2022;Oosterhesselen;
10 jaar;2023;Oosterhesselen;
10 jaar;2022;Oosterhout;623
10 jaar;2023;Oosterhout;558
10 jaar;2022;Oostflakkee;
10 jaar;2023;Oostflakkee;
10 jaar;2022;Ooststellingwerf;267
10 jaar;2023;Ooststellingwerf;245
10 jaar;2022;Oostzaan;93
10 jaar;2023;Oostzaan;113
10 jaar;2022;Ootmarsum;
10 jaar;2023;Ootmarsum;
10 jaar;2022;Openbaar Lichaam Z.IJ.P.;
10 jaar;2023;Openbaar Lichaam Z.IJ.P.;
10 jaar;2022;Oploo, Sint Anthonis en Ledeacker;
10 jaar;2023;Oploo, Sint Anthonis en Ledeacker;
10 jaar;2022;Opmeer;98
10 jaar;2023;Opmeer;114
10 jaar;2022;Opsterland;310
10 jaar;2023;Opsterland;344
10 jaar;2022;Oss;919
10 jaar;2023;Oss;928
10 jaar;2022;Ossendrecht;
10 jaar;2023;Ossendrecht;
10 jaar;2022;Oud en Nieuw Gastel;
10 jaar;2023;Oud en Nieuw Gastel;
10 jaar;2022;Oud-Beijerland;
10 jaar;2023;Oud-Beijerland;
10 jaar;2022;Oude IJsselstreek;385
10 jaar;2023;Oude IJsselstreek;374
10 jaar;2022;Oude Pekela;
10 jaar;2023;Oude Pekela;
10 jaar;2022;Oudenbosch;
10 jaar;2023;Oudenbosch;
10 jaar;2022;Ouder-Amstel;166
10 jaar;2023;Ouder-Amstel;157
10 jaar;2022;Ouderkerk;
10 jaar;2023;Ouderkerk;
10 jaar;2022;Oudewater;119
10 jaar;2023;Oudewater;120
10 jaar;2022;Overbetuwe;566
10 jaar;2023;Overbetuwe;586
10 jaar;2022;Papendrecht;364
10 jaar;2023;Papendrecht;387
10 jaar;2022;Peel en Maas;389
10 jaar;2023;Peel en Maas;438
10 jaar;2022;Peize;
10 jaar;2023;Peize;
10 jaar;2022;Pekela;121
10 jaar;2023;Pekela;146
10 jaar;2022;Pijnacker;
10 jaar;2023;Pijnacker;
10 jaar;2022;Pijnacker-Nootdorp;752
10 jaar;2023;Pijnacker-Nootdorp;795
10 jaar;2022;Polsbroek;
10 jaar;2023;Polsbroek;
10 jaar;2022;Posterholt;
10 jaar;2023;Posterholt;
10 jaar;2022;Prinsenbeek;
10 jaar;2023;Prinsenbeek;
10 jaar;2022;Purmerend;887
10 jaar;2023;Purmerend;961
10 jaar;2022;Putte;
10 jaar;2023;Putte;
10 jaar;2022;Putten;285
10 jaar;2023;Putten;283
10 jaar;2022;Raalte;384
10 jaar;2023;Raalte;403
10 jaar;2022;Raamsdonk;
10 jaar;2023;Raamsdonk;
10 jaar;2022;Ravenstein;
10 jaar;2023;Ravenstein;
10 jaar;2022;Reeuwijk;
10 jaar;2023;Reeuwijk;
10 jaar;2022;Reiderland;
10 jaar;2023;Reiderland;
10 jaar;2022;Reimerswaal;304
10 jaar;2023;Reimerswaal;345
10 jaar;2022;Renkum;327
10 jaar;2023;Renkum;288
10 jaar;2022;Renswoude;79
10 jaar;2023;Renswoude;76
10 jaar;2022;Reusel;
10 jaar;2023;Reusel;
10 jaar;2022;Reusel-De Mierden;167
10 jaar;2023;Reusel-De Mierden;151
10 jaar;2022;Rheden;444
10 jaar;2023;Rheden;427
10 jaar;2022;Rhenen;237
10 jaar;2023;Rhenen;218
10 jaar;2022;Ridderkerk;490
10 jaar;2023;Ridderkerk;580
10 jaar;2022;Riethoven;
10 jaar;2023;Riethoven;
10 jaar;2022;Rijneveld;
10 jaar;2023;Rijneveld;
10 jaar;2022;Rijnsaterwoude;
10 jaar;2023;Rijnsaterwoude;
10 jaar;2022;Rijnsburg;
10 jaar;2023;Rijnsburg;
10 jaar;2022;Rijnwaarden;
10 jaar;2023;Rijnwaarden;
10 jaar;2022;Rijnwoude;
10 jaar;2023;Rijnwoude;
10 jaar;2022;Rijsbergen;
10 jaar;2023;Rijsbergen;
10 jaar;2022;Rijssen;
10 jaar;2023;Rijssen;
10 jaar;2022;Rijssen-Holten;520
10 jaar;2023;Rijssen-Holten;489
10 jaar;2022;Rijswijk (ZH.);627
10 jaar;2023;Rijswijk (ZH.);643
10 jaar;2022;Roden;
10 jaar;2023;Roden;
10 jaar;2022;Roerdalen;172
10 jaar;2023;Roerdalen;181
10 jaar;2022;Roermond;601
10 jaar;2023;Roermond;568
10 jaar;2022;Roggel;
10 jaar;2023;Roggel;
10 jaar;2022;Roggel en Neer;
10 jaar;2023;Roggel en Neer;
10 jaar;2022;Rolde;
10 jaar;2023;Rolde;
10 jaar;2022;De Ronde Venen;501
10 jaar;2023;De Ronde Venen;456
10 jaar;2022;Roosendaal;753
10 jaar;2023;Roosendaal;771
10 jaar;2022;Roosendaal en Nispen;
10 jaar;2023;Roosendaal en Nispen;
10 jaar;2022;Rosmalen;
10 jaar;2023;Rosmalen;
10 jaar;2022;Rossum;
10 jaar;2023;Rossum;
10 jaar;2022;Rotterdam;6851
10 jaar;2023;Rotterdam;6770
10 jaar;2022;Rozenburg;
10 jaar;2023;Rozenburg;
10 jaar;2022;Rozendaal;30
10 jaar;2023;Rozendaal;28
10 jaar;2022;Rucphen;198
10 jaar;2023;Rucphen;210
10 jaar;2022;Ruinen;
10 jaar;2023;Ruinen;
10 jaar;2022;Ruinerwold;
10 jaar;2023;Ruinerwold;
10 jaar;2022;Ruurlo;
10 jaar;2023;Ruurlo;
10 jaar;2022;Sas van Gent;
10 jaar;2023;Sas van Gent;
10 jaar;2022;Sassenheim;
10 jaar;2023;Sassenheim;
10 jaar;2022;Schagen;518
10 jaar;2023;Schagen;447
10 jaar;2022;Schaijk;
10 jaar;2023;Schaijk;
10 jaar;2022;Scheemda;
10 jaar;2023;Scheemda;
10 jaar;2022;Schermer;
10 jaar;2023;Schermer;
10 jaar;2022;Scherpenzeel;131
10 jaar;2023;Scherpenzeel;152
10 jaar;2022;Schiedam;867
10 jaar;2023;Schiedam;850
10 jaar;2022;Schiermonnikoog;4
10 jaar;2023;Schiermonnikoog;7
10 jaar;2022;Schijndel;
10 jaar;2023;Schijndel;
10 jaar;2022;Schinnen;
10 jaar;2023;Schinnen;
10 jaar;2022;Schipluiden;
10 jaar;2023;Schipluiden;
10 jaar;2022;Schoonebeek;
10 jaar;2023;Schoonebeek;
10 jaar;2022;Schoonhoven;
10 jaar;2023;Schoonhoven;
10 jaar;2022;Schoorl;
10 jaar;2023;Schoorl;
10 jaar;2022;Schouwen-Duiveland;314
10 jaar;2023;Schouwen-Duiveland;304
10 jaar;2022;Sevenum;
10 jaar;2023;Sevenum;
10 jaar;2022;Simpelveld;93
10 jaar;2023;Simpelveld;81
10 jaar;2022;Sint Anthonis;
10 jaar;2023;Sint Anthonis;
10 jaar;2022;Sint Maarten;
10 jaar;2023;Sint Maarten;
10 jaar;2022;Sint Odilienberg;
10 jaar;2023;Sint Odilienberg;
10 jaar;2022;Sint Pancras;
10 jaar;2023;Sint Pancras;
10 jaar;2022;Sint Philipsland;
10 jaar;2023;Sint Philipsland;
10 jaar;2022;Sint-Michielsgestel;362
10 jaar;2023;Sint-Michielsgestel;340
10 jaar;2022;Sint-Oedenrode;
10 jaar;2023;Sint-Oedenrode;
10 jaar;2022;Sittard;
10 jaar;2023;Sittard;
10 jaar;2022;Sittard-Geleen;782
10 jaar;2023;Sittard-Geleen;791
10 jaar;2022;Skarsterlân;
10 jaar;2023;Skarsterlân;
10 jaar;2022;Sleen;
10 jaar;2023;Sleen;
10 jaar;2022;Sliedrecht;291
10 jaar;2023;Sliedrecht;316
10 jaar;2022;Slochteren;
10 jaar;2023;Slochteren;
10 jaar;2022;Sluis;219
10 jaar;2023;Sluis;183
10 jaar;2022;Sluis (oud);
10 jaar;2023;Sluis (oud);
10 jaar;2022;Sluis-Aardenburg;
10 jaar;2023;Sluis-Aardenburg;
10 jaar;2022;Smallingerland;647
10 jaar;2023;Smallingerland;602
10 jaar;2022;Smilde;
10 jaar;2023;Smilde;
10 jaar;2022;Sneek;
10 jaar;2023;Sneek;
10 jaar;2022;Snelrewaard;
10 jaar;2023;Snelrewaard;
10 jaar;2022;Soest;518
10 jaar;2023;Soest;502
10 jaar;2022;Someren;182
10 jaar;2023;Someren;187
10 jaar;2022;Son en Breugel;179
10 jaar;2023;Son en Breugel;182
10 jaar;2022;Spijkenisse;
10 jaar;2023;Spijkenisse;
10 jaar;2022;Sprang-Capelle;
10 jaar;2023;Sprang-Capelle;
10 jaar;2022;St. Anthonis;
10 jaar;2023;St. Anthonis;
10 jaar;2022;Stad Delden;
10 jaar;2023;Stad Delden;
10 jaar;2022;Stadskanaal;327
10 jaar;2023;Stadskanaal;327
10 jaar;2022;Standdaarbuiten;
10 jaar;2023;Standdaarbuiten;
10 jaar;2022;Staphorst;256
10 jaar;2023;Staphorst;270
10 jaar;2022;Stede Broec;223
10 jaar;2023;Stede Broec;242
10 jaar;2022;Stedum;
10 jaar;2023;Stedum;
10 jaar;2022;Steenbergen;207
10 jaar;2023;Steenbergen;230
10 jaar;2022;Steenderen;
10 jaar;2023;Steenderen;
10 jaar;2022;Steenwijk;
10 jaar;2023;Steenwijk;
10 jaar;2022;Steenwijkerland;413
10 jaar;2023;Steenwijkerland;499
10 jaar;2022;Stein (L.);198
10 jaar;2023;Stein (L.);207
10 jaar;2022;Stevensweert;
10 jaar;2023;Stevensweert;
10 jaar;2022;Stichtse Vecht;771
10 jaar;2023;Stichtse Vecht;787
10 jaar;2022;Stramproy;
10 jaar;2023;Stramproy;
10 jaar;2022;Strijen;
10 jaar;2023;Strijen;
10 jaar;2022;Súdwest-Fryslân;1031
10 jaar;2023;Súdwest-Fryslân;971
10 jaar;2022;Susteren;
10 jaar;2023;Susteren;
10 jaar;2022;Swalmen;
10 jaar;2023;Swalmen;
10 jaar;2022;Tegelen;
10 jaar;2023;Tegelen;
10 jaar;2022;Terheijden;
10 jaar;2023;Terheijden;
10 jaar;2022;Termunten;
10 jaar;2023;Termunten;
10 jaar;2022;Terneuzen;530
10 jaar;2023;Terneuzen;535
10 jaar;2022;Terschelling;34
10 jaar;2023;Terschelling;44
10 jaar;2022;Teteringen;
10 jaar;2023;Teteringen;
10 jaar;2022;Texel;109
10 jaar;2023;Texel;130
10 jaar;2022;Teylingen;413
10 jaar;2023;Teylingen;373
10 jaar;2022;Tholen;365
10 jaar;2023;Tholen;339
10 jaar;2022;Thorn;
10 jaar;2023;Thorn;
10 jaar;2022;Tiel;448
10 jaar;2023;Tiel;443
10 jaar;2022;Tietjerksteradeel;
10 jaar;2023;Tietjerksteradeel;
10 jaar;2022;Tilburg;2189
10 jaar;2023;Tilburg;2197
10 jaar;2022;Tubbergen;218
10 jaar;2023;Tubbergen;231
10 jaar;2022;Twenterand;419
10 jaar;2023;Twenterand;421
10 jaar;2022;Tynaarlo;405
10 jaar;2023;Tynaarlo;416
10 jaar;2022;Tytsjerksteradiel;347
10 jaar;2023;Tytsjerksteradiel;377
10 jaar;2022;Ubbergen;
10 jaar;2023;Ubbergen;
10 jaar;2022;Uden;
10 jaar;2023;Uden;
10 jaar;2022;Udenhout;
10 jaar;2023;Udenhout;
10 jaar;2022;Uitgeest;165
10 jaar;2023;Uitgeest;139
10 jaar;2022;Uithoorn;368
10 jaar;2023;Uithoorn;341
10 jaar;2022;Ulrum;
10 jaar;2023;Ulrum;
10 jaar;2022;Urk;381
10 jaar;2023;Urk;399
10 jaar;2022;Usquert;
10 jaar;2023;Usquert;
10 jaar;2022;Utrecht (gemeente);3787
10 jaar;2023;Utrecht (gemeente);3905
10 jaar;2022;Utrechtse Heuvelrug;552
10 jaar;2023;Utrechtse Heuvelrug;584
10 jaar;2022;Vaals;80
10 jaar;2023;Vaals;81
10 jaar;2022;Valburg;
10 jaar;2023;Valburg;
10 jaar;2022;Valkenburg (ZH.);
10 jaar;2023;Valkenburg (ZH.);
10 jaar;2022;Valkenburg aan de Geul;138
10 jaar;2023;Valkenburg aan de Geul;125
10 jaar;2022;Valkenisse;
10 jaar;2023;Valkenisse;
10 jaar;2022;Valkenswaard;279
10 jaar;2023;Valkenswaard;297
10 jaar;2022;Veendam;302
10 jaar;2023;Veendam;286
10 jaar;2022;Veenendaal;833
10 jaar;2023;Veenendaal;778
10 jaar;2022;Veere;242
10 jaar;2023;Veere;226
10 jaar;2022;Veghel;
10 jaar;2023;Veghel;
10 jaar;2022;Veldhoven;464
10 jaar;2023;Veldhoven;525
10 jaar;2022;Velsen;650
10 jaar;2023;Velsen;694
10 jaar;2022;Venhuizen;
10 jaar;2023;Venhuizen;
10 jaar;2022;Venlo;962
10 jaar;2023;Venlo;1004
10 jaar;2022;Venray;416
10 jaar;2023;Venray;399
10 jaar;2022;Vessem, Wintelre en Knegsel;
10 jaar;2023;Vessem, Wintelre en Knegsel;
10 jaar;2022;Vianen;
10 jaar;2023;Vianen;
10 jaar;2022;Vierlingsbeek;
10 jaar;2023;Vierlingsbeek;
10 jaar;2022;Vijfheerenlanden;641
10 jaar;2023;Vijfheerenlanden;667
10 jaar;2022;Vinkeveen en Waverveen;
10 jaar;2023;Vinkeveen en Waverveen;
10 jaar;2022;Vlaardingen;808
10 jaar;2023;Vlaardingen;785
10 jaar;2022;Vlagtwedde;
10 jaar;2023;Vlagtwedde;
10 jaar;2022;Vledder;
10 jaar;2023;Vledder;
10 jaar;2022;Vleuten-De Meern;
10 jaar;2023;Vleuten-De Meern;
10 jaar;2022;Vlieland;11
10 jaar;2023;Vlieland;3
10 jaar;2022;Vlijmen;
10 jaar;2023;Vlijmen;
10 jaar;2022;Vlissingen;428
10 jaar;2023;Vlissingen;451
10 jaar;2022;Vlist;
10 jaar;2023;Vlist;
10 jaar;2022;Vlodrop;
10 jaar;2023;Vlodrop;
10 jaar;2022;Voerendaal;121
10 jaar;2023;Voerendaal;96
10 jaar;2022;Voorburg;
10 jaar;2023;Voorburg;
10 jaar;2022;Voorhout;
10 jaar;2023;Voorhout;
10 jaar;2022;Voorne aan Zee;
10 jaar;2023;Voorne aan Zee;766
10 jaar;2022;Voorschoten;299
10 jaar;2023;Voorschoten;326
10 jaar;2022;Voorst;290
10 jaar;2023;Voorst;284
10 jaar;2022;Vorden;
10 jaar;2023;Vorden;
10 jaar;2022;Vries;
10 jaar;2023;Vries;
10 jaar;2022;Vriezenveen;
10 jaar;2023;Vriezenveen;
10 jaar;2022;Vught;390
10 jaar;2023;Vught;354
10 jaar;2022;Waadhoeke;498
10 jaar;2023;Waadhoeke;482
10 jaar;2022;Waalre;212
10 jaar;2023;Waalre;218
10 jaar;2022;Waalwijk;492
10 jaar;2023;Waalwijk;495
10 jaar;2022;Waddinxveen;370
10 jaar;2023;Waddinxveen;348
10 jaar;2022;Wageningen;343
10 jaar;2023;Wageningen;339
10 jaar;2022;Wanroij;
10 jaar;2023;Wanroij;
10 jaar;2022;Warffum;
10 jaar;2023;Warffum;
10 jaar;2022;Warmenhuizen;
10 jaar;2023;Warmenhuizen;
10 jaar;2022;Warmond;
10 jaar;2023;Warmond;
10 jaar;2022;Warnsveld;
10 jaar;2023;Warnsveld;
10 jaar;2022;Waspik;
10 jaar;2023;Waspik;
10 jaar;2022;Wassenaar;371
10 jaar;2023;Wassenaar;327
10 jaar;2022;Wateringen;
10 jaar;2023;Wateringen;
10 jaar;2022;Waterland;204
10 jaar;2023;Waterland;180
10 jaar;2022;Weerselo;
10 jaar;2023;Weerselo;
10 jaar;2022;Weert;461
10 jaar;2023;Weert;481
10 jaar;2022;Weesp;209
10 jaar;2023;Weesp;
10 jaar;2022;Wehl;
10 jaar;2023;Wehl;
10 jaar;2022;Werkendam;
10 jaar;2023;Werkendam;
10 jaar;2022;Wervershoof;
10 jaar;2023;Wervershoof;
10 jaar;2022;Wessem;
10 jaar;2023;Wessem;
10 jaar;2022;West Betuwe;594
10 jaar;2023;West Betuwe;560
10 jaar;2022;West Maas en Waal;210
10 jaar;2023;West Maas en Waal;177
10 jaar;2022;Westerbork;
10 jaar;2023;Westerbork;
10 jaar;2022;Westerhoven;
10 jaar;2023;Westerhoven;
10 jaar;2022;Wester-Koggenland;
